"id_sample","id_condition","cat_condition_type","id_es","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
"117","117Nm","1","80","(T4) Multiple text comprehension","NO - Not standardized",3.13,1.1,148,3.65,1.04,148,NA,NA,NA,NA,NA,NA
"117","117Nm","1","81","(T4) Passage comprehension","NO - Not standardized",0.31,0.18,148,0.56,0.14,148,NA,NA,NA,NA,NA,NA
"117","117m","ctl","82","(T4) Multiple text comprehension","NO - Not standardized",2.19,0.78,213,2.87,0.51,213,NA,NA,NA,NA,NA,NA
"117","117m","ctl","83","(T4) Passage comprehension","NO - Not standardized",0.15,0.15,213,0.31,0.16,213,NA,NA,NA,NA,NA,NA
"118","118Nm","1","84","Passage comprehension (Pre/post)","NO - Not standardized",0.33,0.11,191,0.46,0.098,191,NA,NA,NA,NA,NA,NA
"118","118Nm","1","85","Gates-MacGinitie Reading Comprehension Test","YES - standardized",NA,NA,NA,498.6,22.57,191,NA,NA,NA,NA,NA,NA
"118","118Nm","2","86","Passage comprehension (Pre/post)","NO - Not standardized",0.32,0.074,257,0.38,0.054,257,NA,NA,NA,NA,NA,NA
"118","118Nm","2","87","Gates-MacGinitie Reading Comprehension Test","YES - standardized",NA,NA,NA,468.57,15.85,257,NA,NA,NA,NA,NA,NA
"118","118bau","ctl","88","Passage comprehension (Pre/post)","NO - Not standardized",0.32,0.049,76,0.35,0.04,76,NA,NA,NA,NA,NA,NA
"118","118bau","ctl","89","Gates-MacGinitie Reading Comprehension Test","YES - standardized",NA,NA,NA,483.33,11.93,76,NA,NA,NA,NA,NA,NA
"119","119NGcm","1","90","Computerized Reading Comprehension","NO - Not standardized",0.53,0.14142135623731,50,0.56,0.13114877048604,43,0.61,0.00291729982995789,47,7,NA,NA
"119","119Ncm","2","91","Computerized Reading Comprehension","NO - Not standardized",0.51,0.13856406460551,48,0.57,0.12328828005938,38,0.6,0.00468521285665818,41,7,NA,NA
"119","119bau","ctl","92","Computerized Reading Comprehension","NO - Not standardized",0.47,0.150996688705415,57,0.53,0.13856406460551,48,0.56,0.00282842712474619,50,7,NA,NA
"120","120NGm","1","93","MAP RC","NO - Not standardized",171.92,15.81,319,176.59,15.58,403,NA,NA,NA,NA,NA,NA
"120","120NGm","1","94","*DIBLE (Combined - word reading fluency, oral reading fluency, and retell ability)","YES - standardized",189.37,101.26,425,188.05,85.78,431,NA,NA,NA,NA,NA,NA
"120","120bau","ctl","95","MAP RC","NO - Not standardized",173.76,15.97,165,175.88,17.13,204,NA,NA,NA,NA,NA,NA
"120","120bau","ctl","96","*DIBLE (Combined - word reading fluency, oral reading fluency, and retell ability)","YES - standardized",191.19,112.27,212,186.26,93.54,214,NA,NA,NA,NA,NA,NA
"121","121NGm","1","97","Reading comprehension scores (maximum scores: 36)","NO - Not standardized",NA,NA,NA,20.43,3.04,94,19.07,3.292,94,3,NA,NA
"121","121Nm","2","98","Reading comprehension scores (maximum scores: 36)","NO - Not standardized",NA,NA,NA,19.38,2.8,99,19.12,3.18,99,3,NA,NA
"121","121bau","ctl","99","Reading comprehension scores (maximum scores: 36)","NO - Not standardized",NA,NA,NA,18.94,3.62,86,18.33,3.29,96,3,NA,NA
"123","123Nm","1","102","History reading comprehension","NO - Not standardized",12.48,6.1,103,15.63,5.35,103,NA,NA,NA,NA,NA,NA
"123","123bau","ctl","103","History reading comprehension","NO - Not standardized",12.14,6.1,100,14.27,5.58,100,NA,NA,NA,NA,NA,NA
"124","124Nm","1","108","parallel reading comprehension tests","YES - standardized",50.3,9.89,168,55.62,8.22,168,NA,NA,NA,NA,NA,NA
"124","124bau","ctl","109","parallel reading comprehension tests","YES - standardized",49.71,10.12,174,44.57,8.45,174,NA,NA,NA,NA,NA,NA
"125_1","125_1Nm","1","110","Information Text - Pond/desert","NO - Not standardized",NA,NA,NA,6.28,1.33,32,NA,NA,NA,NA,NA,NA
"125_1","125_1Nm","1","111","Narrative Text - Pond/desert","NO - Not standardized",NA,NA,NA,6.03,1.73,32,NA,NA,NA,NA,NA,NA
"125_1","125_1Nm","1","112","Pretest ONLY. Standardized reading","YES - standardized",47.79,25.35,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125_1","125_1m","ctl","113","Information Text - Pond/desert","NO - Not standardized",NA,NA,NA,5.57,1.64,28,NA,NA,NA,NA,NA,NA
"125_1","125_1m","ctl","114","Narrative Text - Pond/desert","NO - Not standardized",NA,NA,NA,5.59,1.64,28,NA,NA,NA,NA,NA,NA
"125_1","125_1m","ctl","115","Pretest ONLY. Standardized reading","YES - standardized",43.32,34.25,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125_2","125_2Nm","1","116","Information Text - Volcano/river","NO - Not standardized",NA,NA,NA,8.09,1.59,33,NA,NA,NA,NA,NA,NA
"125_2","125_2Nm","1","117","Narrative Text - Volcano/river","NO - Not standardized",NA,NA,NA,4.76,1.2,33,NA,NA,NA,NA,NA,NA
"125_2","125_2Nm","1","118","Pretest ONLY. Standardized reading","YES - standardized",53.35,30.29,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125_2","125_2m","ctl","119","Information Text - Volcano/river","NO - Not standardized",NA,NA,NA,7.88,1.72,27,NA,NA,NA,NA,NA,NA
"125_2","125_2m","ctl","120","Narrative Text - Volcano/river","NO - Not standardized",NA,NA,NA,4,0.87,27,NA,NA,NA,NA,NA,NA
"125_2","125_2m","ctl","121","Pretest ONLY. Standardized reading","YES - standardized",38.31,35.56,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125_3","125_3Nm","1","122","Information Text - Pond/desert","NO - Not standardized",NA,NA,NA,7.92,1.54,23,NA,NA,NA,NA,NA,NA
"125_3","125_3Nm","1","123","Narrative Text - Pond/desert","NO - Not standardized",NA,NA,NA,5.4,1.34,23,NA,NA,NA,NA,NA,NA
"125_3","125_3Nm","1","124","Pretest ONLY. Standardized reading","YES - standardized",43.29,11.77,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125_3","125_3m","ctl","125","Information Text - Pond/desert","NO - Not standardized",NA,NA,NA,7.35,1.54,24,NA,NA,NA,NA,NA,NA
"125_3","125_3m","ctl","126","Narrative Text - Pond/desert","NO - Not standardized",NA,NA,NA,4.44,1.34,24,NA,NA,NA,NA,NA,NA
"125_3","125_3m","ctl","127","Pretest ONLY. Standardized reading","YES - standardized",37.46,12.6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125_4","125_4Nm","1","128","Information Text - Volcano/river","NO - Not standardized",NA,NA,NA,6.74,1.9,26,NA,NA,NA,NA,NA,NA
"125_4","125_4Nm","1","129","Narrative Text - Volcano/river","NO - Not standardized",NA,NA,NA,4.96,1.25,26,NA,NA,NA,NA,NA,NA
"125_4","125_4Nm","1","130","Pretest ONLY. Standardized reading","YES - standardized",42.23,8.99,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125_4","125_4m","ctl","131","Information Text - Volcano/river","NO - Not standardized",NA,NA,NA,6.37,1.59,28,NA,NA,NA,NA,NA,NA
"125_4","125_4m","ctl","132","Narrative Text - Volcano/river","NO - Not standardized",NA,NA,NA,5.13,1.51,28,NA,NA,NA,NA,NA,NA
"125_4","125_4m","ctl","133","Pretest ONLY. Standardized reading","YES - standardized",37.54,10.3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126_1","126_1Ncm","1","134","Gates-MacGinitie","YES - standardized",455.54,9.71,41,476.72,11.1,41,NA,NA,NA,NA,NA,NA
"126_1","126_1Ncm","1","135","Inferencing (Gates)","NO - Not standardized",8,0.46,41,8.88,0.68,41,NA,NA,NA,NA,NA,NA
"126_1","126_1cm","ctl","136","Gates-MacGinitie","YES - standardized",450.7,3.69,22,459.03,15.72,22,NA,NA,NA,NA,NA,NA
"126_1","126_1cm","ctl","137","Inferencing (Gates)","NO - Not standardized",7.97,0.58,22,7.73,1.3,22,NA,NA,NA,NA,NA,NA
"126_2","126_2Ncm","1","138","Gates-MacGinitie","YES - standardized",515.33,15.58,53,528.57,16.5,53,NA,NA,NA,NA,NA,NA
"126_2","126_2Ncm","1","139","Inferencing (Gates)","NO - Not standardized",8.77,1.53,53,9.58,0.82,53,NA,NA,NA,NA,NA,NA
"126_2","126_2cm","ctl","140","Gates-MacGinitie","YES - standardized",509.13,1.36,40,514.23,8.75,40,NA,NA,NA,NA,NA,NA
"126_2","126_2cm","ctl","141","Inferencing (Gates)","NO - Not standardized",9.03,0.55,40,9.67,0.32,40,NA,NA,NA,NA,NA,NA
"127_7","127_7Nm","1","142","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",514.79,25.49,154,515.58,28.22,154,NA,NA,NA,NA,NA,NA
"127_7","127_7m","ctl","143","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",519.68,28.78,143,518.19,30.19,143,NA,NA,NA,NA,NA,NA
"127_8","127_8Nm","1","144","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",521.98,27.12,117,522.23,27.7,117,NA,NA,NA,NA,NA,NA
"127_8","127_8m","ctl","145","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",522.34,33.23,134,522.43,31.16,134,NA,NA,NA,NA,NA,NA
"127_6","127_6Nm","1","146","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",498.84,35.16,176,501.99,31.33,176,NA,NA,NA,NA,NA,NA
"127_6","127_6m","ctl","147","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",505.65,31.49,84,510.28,32.59,84,NA,NA,NA,NA,NA,NA
"127_7","127_7Nm","1","148","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",523.13,26.26,196,526.38,28.99,196,NA,NA,NA,NA,NA,NA
"127_7","127_7m","ctl","149","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",517.99,28.76,78,521.44,30.89,78,NA,NA,NA,NA,NA,NA
"127_8","127_8Nm","1","150","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",535.06,30.68,200,535.59,31.14,200,NA,NA,NA,NA,NA,NA
"127_8","127_8m","ctl","151","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",530.72,27.92,106,519.06,36.21,106,NA,NA,NA,NA,NA,NA
"127_6","127_6Nm","1","152","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",509.06,28.54,49,511.67,26.68,49,NA,NA,NA,NA,NA,NA
"127_6","127_6m","ctl","153","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",498.09,29.08,47,494.35,30.34,47,NA,NA,NA,NA,NA,NA
"127_7","127_7Nm","1","154","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",534.12,27.62,40,546.68,30.07,40,NA,NA,NA,NA,NA,NA
"127_7","127_7m","ctl","155","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",516.22,27.44,36,518.08,26.45,36,NA,NA,NA,NA,NA,NA
"127_8","127_8Nm","1","156","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",524.51,21.49,43,535.42,27.69,43,NA,NA,NA,NA,NA,NA
"127_8","127_8m","ctl","157","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",532.76,21.61,41,535.55,31.68,41,NA,NA,NA,NA,NA,NA
"127_6","127_6Nm","1","158","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",507.52,27.64,109,507.61,29.89,109,NA,NA,NA,NA,NA,NA
"127_6","127_6m","ctl","159","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",475.49,37.8,53,495.55,35.87,53,NA,NA,NA,NA,NA,NA
"127_7","127_7Nm","1","160","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",526.86,35.8,58,531.49,36.54,58,NA,NA,NA,NA,NA,NA
"127_7","127_7m","ctl","161","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",508.19,32.15,53,515.25,27.47,53,NA,NA,NA,NA,NA,NA
"127_8","127_8Nm","1","162","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",515.45,27.74,56,509.12,31.63,56,NA,NA,NA,NA,NA,NA
"127_8","127_8m","ctl","163","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",521.79,23.65,55,506.16,30.25,55,NA,NA,NA,NA,NA,NA
"128","128NVcm","1","164","Informational text comprehension","NO - Not standardized",54.06,15.41,269,56.94,16.7,269,NA,NA,NA,NA,NA,NA
"128","128m","ctl","165","Informational text comprehension","NO - Not standardized",53.19,14.1,288,53.6,17.55,288,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","166","text comprehension - total (April, EOY)","NO - Not standardized",NA,NA,NA,13.52,2.77,48,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","167","text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,6,1.62,48,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","168","text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,7.42,1.54,48,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","169","Past achievement (pretest ONLY, BOY)","NO - Not standardized",5.77,2.56,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","170","Literacy level (pretest ONLY, BOY)","NO - Not standardized",2.87,1.2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","171","text comprehension - total (April, EOY)","NO - Not standardized",NA,NA,NA,13.73,2.45,42,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","172","text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,6.46,1.41,42,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","173","text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,7.02,1.87,42,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","174","Past achievement (pretest ONLY, BOY)","NO - Not standardized",6.51,2.6,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","175","Literacy level (pretest ONLY, BOY)","NO - Not standardized",3.23,1.49,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_2","129_2Nm","1","176","text comprehension - total (April, EOY)","NO - Not standardized",NA,NA,NA,14.61,2.67,40,NA,NA,NA,NA,NA,NA
"129_2","129_2Nm","1","177","text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,5.9,1.61,40,NA,NA,NA,NA,NA,NA
"129_2","129_2Nm","1","178","text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,8.71,1.47,40,NA,NA,NA,NA,NA,NA
