"id_sample","chr_grade","is_secondary","ave_age","pct_struggle_reader","pct_disability","pct_lowSES","pct_SLL","pct_boy","pct_minority"
"142_1","7","Secondary",13,1,NA,1,NA,0.675,NA
"142_2","7","Secondary",13,0,NA,1,NA,0.517857142857143,NA
"142_2","7","Secondary",13,0,NA,1,NA,0.517857142857143,NA
"142_2","7","Secondary",13,0,NA,1,NA,0.517857142857143,NA
"143","8","Secondary",13.5,0,"0",0.42,NA,NA,NA
"143","8","Secondary",13.5,0,"0",0.42,NA,NA,NA
"143","8","Secondary",13.5,0,"0",0.42,NA,NA,NA
"143","8","Secondary",13.5,0,"0",0.42,NA,NA,NA
"143","8","Secondary",13.5,0,"0",0.42,NA,NA,NA
"143","8","Secondary",13.5,0,"0",0.42,NA,NA,NA
"145","6","Secondary",11.5,NA,NA,NA,NA,0.387,NA
"145","6","Secondary",11.5,NA,NA,NA,NA,0.5807,NA
"146","5","Elementary",11,NA,NA,NA,NA,0.499156829679595,NA
"146","5","Elementary",11,NA,NA,NA,NA,0.499156829679595,NA
"146","5","Elementary",11,NA,NA,NA,NA,0.499156829679595,NA
"146","5","Elementary",11,NA,NA,NA,NA,0.499156829679595,NA
"147","5","Elementary",11.7,NA,NA,NA,0,0.435483870967742,NA
"147","5","Elementary",11.05,NA,NA,NA,0,0.47244094488189,NA
"147","5","Elementary",11.02,NA,NA,NA,0,0.478632478632479,NA
"148","5","Elementary",10.48,NA,NA,NA,0.0075187969924812,0.586466165413534,NA
"148","5","Elementary",10.57,NA,NA,NA,0.0387596899224806,0.496124031007752,NA
"148","5","Elementary",10.6,NA,NA,NA,0.0158730158730159,0.563492063492063,NA
"148","5","Elementary",10.55,NA,NA,NA,0.0273972602739726,0.575342465753425,NA
"149","5","Elementary",10.7583333333333,1,"0.1875",0.75,NA,0.5,0.875
"149","5","Elementary",10.485,1,"0.125",0.75,NA,0.4375,0.9375
"150","4","Elementary",10.02,1,NA,NA,0,0.4815,0.9259
"150","4","Elementary",10.22,1,NA,NA,0,0.625,1
"150","4","Elementary",10.32,1,NA,NA,0,0.7917,0.9167
"151","4,5,6,7,8","Secondary",11.5,1,"0.05",NA,0,0.75,NA
"151","4,5,6,7,8","Secondary",11.75,1,"0.05",NA,0,0.75,NA
"152","2","Elementary",7.5,0.4,"0.05",NA,0.21,0.47,NA
"152","2","Elementary",7.5,0.45,"0.03",NA,0.18,0.53,NA
"153","2","Elementary",7.5,0.6,"0.05",NA,0.12,1,NA
"153","2","Elementary",7.5,0.6,"0.14000000000000001",NA,0.12,1,NA
