"id_es","chr_authorname","id_study","chr_country","is_USA","chr_language","is_English","is_school_context","is_article","is_RCT","id_sample","id_condition","cat_M_type","cat_R_type","cat_condition_type","chr_condition_name","chr_grade","is_secondary","ave_age","pct_struggle_reader","pct_disability","pct_lowSES","pct_SLL","pct_boy","pct_minority","is_scripted","is_small_group","is_school_staff","num_dosage_total","num_dosage_session_num","num_dosage_session_length","is_fidelity","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,4.67,1.44,42,NA,NA,NA,NA,NA,NA
183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,8.65,1.51,42,NA,NA,NA,NA,NA,NA
184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Past achievement (pretest ONLY, BOY)","NO - Not standardized",6.65,1.87,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literacy level (pretest ONLY, BOY)","NO - Not standardized",3.35,0.89,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,"Tijims et al., 2018","130","Netherlands","non-USA","Dutch","non-English","School Environment","peer reviewed paper","RCT","130","130Nm","N","m","1","Intervention","7","Secondary",13.5833333333333,NA,NA,0.8,NA,0.3,NA,"No / Not reported","classroom/ large group","Research Staff",405,9,45,"Reported","reading comprehension (Vlaamse
Test Begrijpend Lezen version grade 6)","YES - standardized",12.73,4.38,40,13.77,4.94,40,NA,NA,NA,NA,NA,NA
187,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130","130bau",NA,NA,"ctl","Control (BAU)","7","Secondary",13.5,NA,NA,0.8,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,"reading comprehension (Vlaamse
Test Begrijpend Lezen version grade 6)","YES - standardized",13.14,4.52,50,11.96,5.32,50,NA,NA,NA,NA,NA,NA
188,"Schunk & Rice. (S1), 1987","131","USA","USA","English","English","School Environment","peer reviewed paper","RCT","131","131Vm","V","m","1","specific strategy value information","4, 5","Elementary",11.2,1,NA,0.85,0.25,0.525,0.74,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported","comprehension skill test","NO - Not standardized",4.5,2.7,10,6.3,3.1,10,NA,NA,NA,NA,NA,NA
189,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131Vm","V","m","2","general strategy value information","4, 5","Elementary",11.2,1,NA,0.85,0.25,0.525,0.74,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported","comprehension skill test","NO - Not standardized",4.5,2.8,10,6.2,4.9,10,NA,NA,NA,NA,NA,NA
190,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131Vm","V","m","3","specific plus general + strategy value information","4, 5","Elementary",11.2,1,NA,0.85,0.25,0.525,0.74,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported","comprehension skill test","NO - Not standardized",4.9,1.9,10,11.2,4.9,10,NA,NA,NA,NA,NA,NA
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131","131m",NA,"m","ctl","no strategy value information (instructional control)","4, 5","Elementary",11.2,1,NA,0.85,0.25,0.525,0.74,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported","comprehension skill test","NO - Not standardized",4.3,2.2,10,6.3,2.5,10,NA,NA,NA,NA,NA,NA
