"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_pre_int","sd_pre_int","n_pre_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","m_pre_ctl","sd_pre_ctl","n_pre_ctl","m_post_int","m_post_ctl","sd_post_int","sd_post_ctl","n_post_int","n_post_ctl","m_delayed_int","m_delayed_ctl","sd_delayed_int","sd_delayed_ctl","n_delayed_int","n_delayed_ctl","num_month_of_delayed_int","num_month_of_delayed_ctl"
"149","149NGm","1",271,"(immediate) 2. Summary","NO - Not standardized",2.94,1.77,16,"149Nm","ctl",287,3.88,1.93,16,5.06,4.19,1.81,1.68,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",272,"(immediate) 3. Oral retell quality","NO - Not standardized",2.56,0.96,16,"149Nm","ctl",288,3.06,1.24,16,4.06,3,0.93,0.89,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",273,"(immediate) 4. Oral retell information units","NO - Not standardized",3.56,1.67,16,"149Nm","ctl",289,4,2,16,6.63,4.5,2.96,2.07,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",274,"(immediate) 5. Oral retell main ideas","NO - Not standardized",2.06,1,16,"149Nm","ctl",290,2.44,0.96,16,3.25,2.56,0.86,0.96,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",275,"(immediate) 6. Written retell quality","NO - Not standardized",2.75,1,16,"149Nm","ctl",291,3,1.03,16,3,3.19,0.89,1.28,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",276,"(immediate) 7. Written retell information units","NO - Not standardized",2.69,2.06,16,"149Nm","ctl",292,4.06,2.08,16,3.63,3.69,2.06,2.5,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",277,"(immediate) 8. Written retell main ideas","NO - Not standardized",1.81,1.22,16,"149Nm","ctl",293,2.07,1.12,16,2.75,2.63,1.44,1.26,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",278,"(3 week) 1. Main idea","NO - Not standardized",2.5,1.83,16,"149Nm","ctl",294,2.19,1.52,16,4.13,2.4,1.55,1.35,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",279,"(3 week) 2. Summary","NO - Not standardized",2.94,1.77,16,"149Nm","ctl",295,3.88,1.93,16,4.67,3.93,1.59,1.62,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",280,"(3 week) 3. Oral retell quality","NO - Not standardized",2.56,0.96,16,"149Nm","ctl",296,3.06,1.24,16,3.87,3.33,1.25,1.29,16,16,NA,NA,NA,NA,NA,NA,NA,NA
